d1,type,d2,event_category
DB05812,0,DB00758,Fewer
DB01241,0,DB00619,Fewer
DB06695,0,DB05351,Fewer
DB00758,0,DB00257,Fewer
DB00758,0,DB05351,Fewer
DB01181,0,DB01149,Fewer
DB00320,0,DB01181,Fewer
DB01211,0,DB01181,Fewer
DB06695,0,DB00736,Fewer
DB08868,1,DB01280,Fewer
DB08868,1,DB01181,Fewer
DB08868,1,DB00544,Fewer
DB08868,1,DB00688,Fewer
DB00928,1,DB08868,Fewer
DB08868,1,DB00619,Fewer
DB08868,1,DB09053,Fewer
DB08868,1,DB01206,Fewer
DB08868,1,DB01024,Fewer
DB12364,2,DB00861,Fewer
DB06736,2,DB12364,Fewer
DB13783,2,DB12364,Fewer
DB12364,2,DB00176,Fewer
DB12364,2,DB01283,Fewer
DB13783,2,DB00266,Fewer
DB13783,2,DB01418,Fewer
DB12364,2,DB00963,Fewer
DB06216,3,DB00865,Fewer
DB01238,3,DB01577,Fewer
DB09128,3,DB01576,Fewer
DB00182,3,DB06016,Fewer
DB00182,3,DB00623,Fewer
DB00865,3,DB09224,Fewer
DB00182,3,DB09128,Fewer
DB00865,3,DB08815,Fewer
DB00564,4,DB04817,Fewer
DB01206,4,DB04817,Fewer
DB01248,4,DB04817,Fewer
DB00322,4,DB04817,Fewer
DB09053,4,DB04817,Fewer
DB00997,4,DB04817,Fewer
DB01254,4,DB04817,Fewer
DB00445,4,DB04817,Fewer
DB00590,5,DB01018,Fewer
DB00633,5,DB00590,Fewer
DB01407,5,DB00590,Fewer
DB01136,5,DB01364,Fewer
DB00346,5,DB00633,Fewer
DB00346,5,DB01407,Fewer
DB00346,5,DB01064,Fewer
DB00590,5,DB06262,Fewer
DB00655,6,DB00461,Fewer
DB13952,6,DB01283,Fewer
DB01357,6,DB00461,Fewer
DB00655,6,DB01628,Fewer
DB01628,6,DB01357,Fewer
DB00749,6,DB01357,Fewer
DB00255,6,DB00461,Fewer
DB01283,6,DB01357,Fewer
DB00865,7,DB00647,Fewer
DB01466,7,DB01577,Fewer
DB00865,7,DB00295,Fewer
DB01576,7,DB01227,Fewer
DB00865,7,DB00813,Fewer
DB00865,7,DB01227,Fewer
DB08897,8,DB00332,Fewer
DB00392,8,DB06148,Fewer
DB08897,8,DB11181,Fewer
DB01071,8,DB00805,Fewer
DB08897,8,DB00804,Fewer
DB00332,8,DB06148,Fewer
DB00898,9,DB08918,Fewer
DB06701,9,DB00736,Fewer
DB05351,9,DB06701,Fewer
DB00182,9,DB05351,Fewer
DB12161,10,DB00683,Fewer
DB12161,10,DB00186,Fewer
DB12161,10,DB00898,Fewer
DB12161,10,DB00829,Fewer
